condition,trial,rel_sec,rps,hits,hit_rate
np,3,72,133,93,0.6992
np,3,73,242,196,0.8099
np,3,74,244,200,0.8197
np,3,75,226,186,0.8230
np,3,76,152,122,0.8026
np,3,77,208,168,0.8077
np,3,78,243,193,0.7942
np,3,79,231,191,0.8268
np,3,80,216,176,0.8148
np,3,81,242,193,0.7975
np,3,82,246,205,0.8333
np,3,83,250,204,0.8160
np,3,84,194,150,0.7732
np,3,85,270,220,0.8148
np,3,86,220,180,0.8182
np,3,87,193,153,0.7927
np,3,88,170,130,0.7647
np,3,89,237,187,0.7890
np,3,90,151,121,0.8013
